name,wood,top_tex,bottom_tex
mangrove_gated_door,mangrove,,
mangrove_glass_door,mangrove,,
mangrove_heavy_door,mangrove,,
mangrove_japanese_door,mangrove,,
mangrove_modern_door,mangrove,,
mangrove_mystic_door,mangrove,,
mangrove_nether_door,mangrove,,
mangrove_overgrown_door,mangrove,,
mangrove_paneled_door,mangrove,,
mangrove_paper_door,mangrove,,
mangrove_pressed_door,mangrove,,
mangrove_screen_door,mangrove,,
mangrove_secret_door,mangrove,,
mangrove_stable_door,mangrove,,
mangrove_stable_head_door,mangrove,mangrove_stable_door_top,
mangrove_tile_windowed_door,mangrove,,
mangrove_tropical_door,mangrove,,
mangrove_waffle_door,mangrove,,
mangrove_whispering_door,mangrove,,
mangrove_windowed_door,mangrove,,
cherry_barn_door,cherry,,
cherry_barn_glass_door,cherry,,cherry_barn_door_bottom
cherry_beach_door,cherry,,
cherry_classic_door,cherry,,
cherry_cottage_door,cherry,,
cherry_dual_paneled_door,cherry,,
cherry_engraved_door,cherry,,
cherry_four_panel_door,cherry,,
cherry_gated_door,cherry,,
cherry_glass_door,cherry,,
cherry_heavy_door,cherry,,
cherry_japanese_door,cherry,,
cherry_modern_door,cherry,,
cherry_mystic_door,cherry,,
cherry_nether_door,cherry,,
cherry_overgrown_door,cherry,,
cherry_paneled_door,cherry,,
cherry_paper_door,cherry,,
cherry_pressed_door,cherry,,
cherry_screen_door,cherry,,
cherry_secret_door,cherry,,
cherry_stable_door,cherry,,
cherry_stable_head_door,cherry,cherry_stable_door_top,
cherry_swamp_door,cherry,,
cherry_tile_windowed_door,cherry,,
cherry_tiled_door,cherry,,
cherry_tropical_door,cherry,,
cherry_whispering_door,cherry,,
bamboo_barn_door,bamboo,,
bamboo_barn_glass_door,bamboo,,bamboo_barn_door_bottom
bamboo_beach_door,bamboo,,
bamboo_classic_door,bamboo,,
bamboo_cottage_door,bamboo,,
bamboo_dual_paneled_door,bamboo,,
bamboo_four_panel_door,bamboo,,
bamboo_gated_door,bamboo,,
bamboo_glass_door,bamboo,,
bamboo_heavy_door,bamboo,,
bamboo_japanese_door,bamboo,,
bamboo_modern_door,bamboo,,
bamboo_mystic_door,bamboo,,
bamboo_nether_door,bamboo,,
bamboo_overgrown_door,bamboo,,
bamboo_paneled_door,bamboo,,
bamboo_paper_door,bamboo,,
bamboo_pressed_door,bamboo,,
bamboo_screen_door,bamboo,,
bamboo_secret_door,bamboo,,
bamboo_stable_door,bamboo,,
bamboo_stable_head_door,bamboo,bamboo_stable_door_top,
bamboo_swamp_door,bamboo,,
bamboo_tile_windowed_door,bamboo,,
bamboo_tiled_door,bamboo,,
bamboo_tropical_door,bamboo,,
bamboo_waffle_door,bamboo,,
bamboo_whispering_door,bamboo,,
crimson_barn_door,crimson,,
crimson_barn_glass_door,crimson,,crimson_barn_door_bottom
crimson_beach_door,crimson,,
crimson_classic_door,crimson,,
crimson_cottage_door,crimson,,
crimson_dual_paneled_door,crimson,,
crimson_engraved_door,crimson,,
crimson_four_panel_door,crimson,,
crimson_gated_door,crimson,,
crimson_glass_door,crimson,,
crimson_heavy_door,crimson,,
crimson_japanese_door,crimson,,
crimson_modern_door,crimson,,
crimson_mystic_door,crimson,,
crimson_overgrown_door,crimson,,
crimson_paneled_door,crimson,,
crimson_paper_door,crimson,,
crimson_pressed_door,crimson,,
crimson_screen_door,crimson,,
crimson_secret_door,crimson,,
crimson_stable_door,crimson,,
crimson_stable_head_door,crimson,crimson_stable_door_top,
crimson_swamp_door,crimson,,
crimson_tile_windowed_door,crimson,,
crimson_tiled_door,crimson,,
crimson_tropical_door,crimson,,
crimson_waffle_door,crimson,,
crimson_whispering_door,crimson,,
crimson_windowed_door,crimson,,
warped_barn_door,warped,,
warped_barn_glass_door,warped,,warped_barn_door_bottom
warped_beach_alt_door,warped,,
warped_beach_door,warped,,
warped_classic_alt_door,warped,,
warped_classic_door,warped,,
warped_cottage_alt_door,warped,,
warped_cottage_door,warped,,
warped_dual_paneled_door,warped,,
warped_engraved_door,warped,,
warped_four_panel_door,warped,,
warped_gated_door,warped,,
warped_glass_alt_door,warped,,
warped_glass_door,warped,,
warped_heavy_door,warped,,
warped_japanese_door,warped,,
warped_modern_door,warped,,
warped_nether_alt_door,warped,,
warped_nether_door,warped,,
warped_paneled_door,warped,,
warped_paper_alt_door,warped,,
warped_paper_door,warped,,
warped_pressed_door,warped,,
warped_screen_door,warped,,
warped_secret_door,warped,,
warped_stable_door,warped,,
warped_stable_head_door,warped,warped_stable_door_top,
warped_swamp_door,warped,,
warped_tile_windowed_door,warped,,
warped_tiled_door,warped,,
warped_tropical_alt_door,warped,,
warped_tropical_door,warped,,
warped_waffle_door,warped,,
warped_whispering_door,warped,,
warped_windowed_door,warped,,
pale_oak_barn_door,pale_oak,,
pale_oak_barn_glass_door,pale_oak,,pale_oak_barn_door_bottom
pale_oak_beach_door,pale_oak,,
pale_oak_classic_door,pale_oak,,
pale_oak_cottage_door,pale_oak,,
pale_oak_dual_paneled_door,pale_oak,,
pale_oak_engraved_door,pale_oak,,
pale_oak_four_panel_door,pale_oak,,
pale_oak_gated_door,pale_oak,,
pale_oak_glass_door,pale_oak,,
pale_oak_heavy_door,pale_oak,,
pale_oak_japanese_door,pale_oak,,
pale_oak_modern_door,pale_oak,,
pale_oak_mystic_door,pale_oak,,
pale_oak_nether_door,pale_oak,,
pale_oak_overgrown_door,pale_oak,,
pale_oak_paneled_door,pale_oak,,
pale_oak_paper_door,pale_oak,,
pale_oak_pressed_door,pale_oak,,
pale_oak_screen_door,pale_oak,,
pale_oak_secret_door,pale_oak,,
pale_oak_stable_door,pale_oak,,
pale_oak_stable_head_door,pale_oak,pale_oak_stable_door_top,
pale_oak_swamp_door,pale_oak,,
pale_oak_tile_windowed_door,pale_oak,,
pale_oak_tiled_door,pale_oak,,
pale_oak_tropical_door,pale_oak,,
pale_oak_waffle_door,pale_oak,,
pale_oak_whispering_door,pale_oak,,
pale_oak_windowed_door,pale_oak,,
